00400513        addi x10 x0 4
00a00293        addi x5 x0 10
01400313        addi x6 x0 20
00000393        addi x7 x0 0
01e00413        addi x8 x0 30
02800493        addi x9 x0 40
00552423        sw x5 8 x10
00652623        sw x6 12 x10
00852823        sw x8 16 x10
00952a23        sw x9 20 x10
00852583        lw x11 8 x10
00c52603        lw x12 12 x10
01052683        lw x13 16 x10
00c58733        add x14 x11 x12
40d707b3        sub x15 x14 x13
006868b3        or x17 x16 x6
00d8f933        and x18 x17 x13
01252c23        sw x18 24 x10
01852983        lw x19 24 x10
01298663        beq x19 x18 12 <label1>
00100393        addi x7 x0 1
fa9ff06f        jal x0 -88 <main>
00200393        addi x7 x0 2
00538a33        add x20 x7 x5
006a1663        bne x20 x6 12 <label2>
00000a93        addi x21 x0 0
f95ff06f        jal x0 -108 <main>
00100a93        addi x21 x0 1
00000b17        auipc x22 0x0 <main>
020b0b13        addi x22 x22 32
000b0067        jalr x0 x22 0
fff00b93        addi x23 x0 -1
0062ac33        slt x24 x5 x6
00000c93        addi x25 x0 0
f71ff06f        jal x0 -144 <main>
00500c93        addi x25 x0 5
008000ef        jal x1 8 <return_point>
00000d13        addi x26 x0 0
005c8db3        add x27 x25 x5
00008067        jalr x0 x1 0
