00400513        addi x10 x0 4
00a00293        addi x5 x0 10
01400313        addi x6 x0 20
00000393        addi x7 x0 0
00552423        sw x5 8 x10
00652623        sw x6 12 x10
00852403        lw x8 8 x10
00c52483        lw x9 12 x10
009405b3        add x11 x8 x9
00d52823        sw x13 16 x10
01052703        lw x14 16 x10
00d70663        beq x14 x13 12 <label1>
00100393        addi x7 x0 1
fc5ff06f        jal x0 -60 <end>
00200393        addi x7 x0 2
005387b3        add x15 x7 x5
00679663        bne x15 x6 12 <label2>
00000813        addi x16 x0 0
fb1ff06f        jal x0 -80 <end>
00100813        addi x16 x0 1
008000ef        jal x1 8 <target>
00000893        addi x17 x0 0
00580933        add x18 x16 x5
00008067        jalr x0 x1 0
